"","id","l2501","l2502","l2503","l2504","l2505","l2506","l2507","l2508","l2509","l2510","l2511","l2512","l2513","l2514","l2515","region","gender","age","education"
"147",558,4,3,3,2,5,2,4,3,4,3,5,3,5,3,4,1,1,40,4
"148",562,4,2,4,3,4,2,4,3,4,3,4,1,4,2,5,1,2,50,1
"149",567,5,1,1,4,5,1,5,3,5,5,5,3,5,1,5,1,2,42,12
"150",568,2,4,3,2,4,3,4,4,4,3,2,4,4,2,3.81396981396981,1,2,57,3
"151",575,5,4,5,2,5,4,5,4,5,5,5,5,5,4,5,1,1,29,12
"152",579,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,1,1,59,4
"153",588,5,5,5,4,1,2,5,5,5,5,5,5,5,1,5,1,2,67,7
"154",590,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,1,2,25,7
"155",593,4,4,4,2,5,5,5,2,4,4,5,2,4,2,5,1,2,19,10
"156",597,1,5,5,1,5,1,5,2,5,5,1,5,5,1,5,1,2,41,9
"157",598,3,3,4,2,4,3,4,3,4,4,4,2,4,3,4,1,2,21,4
"158",599,4,4,4,2,4,4,4,2,4,4,2,4,4,2,4,1,2,40,12
"159",602,3,3,5,2,5,2,5,4,3,2,2,4,5,3,5,1,1,24,5
"160",608,3,1,5,2,4,2,4,2,4,4,4,1,4,2,4,1,2,61,8
"161",610,4,5,5,2,2,4,5,3,4,4,4,4,5,4,5,1,2,38,4
"162",618,4,1,5,2,4,2,4,4,4,4,4,4,4,2.77097345132743,4,1,1,46,3
"163",620,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,1,2,59,1
"164",622,5,2,5,2,4,4,4,5,5,4,3.89625668449198,3.39461883408072,5,4,5,1,1,45,1
"165",626,2,4,5,1,5,1,5,3,5,4,3,3,5,1,5,1,1,28,4
"166",627,4,3,3,2,5,2,4,4,4,3,3.89625668449198,4,3.89578250261415,4,4,1,1,53,3
"167",632,5,2,4,3,4,2,4,1,2,2,4,3,3,2,4,1,1,38,4
"168",634,5,2,2,2.32650273224044,4,1,4,4,4,3,5,4,3.89578250261415,5,4,1,2,42,3
"169",638,2,5,5,2,4,4,4,4,4,4,4,4,4,4,4,1,2,39,10
"170",640,4,2,4,2,4,3,5,5,5,5,1,5,5,1,5,1,2,45,6
"171",642,4,2,4,2,4,2,4,4,4,4,4,4,4,2,4,1,2,38,6
"172",644,4,2,4,2,4,2,4,4,4,4,4,4,4,2,4,1,1,70,12
"173",646,5,4,4,2,4,3,4,4,4,3,5,4,2,2,4,1,1,32,12
